sample;S1_exposure;S2_exposure;S3_exposure;S1_pvalue;S2_pvalue;S3_pvalue
SRR12351612;0;0.486248264145361;4.88133916083549;NA;1.9778442703231e-18;1.9778442703231e-18
SRR12351622;4.63178333623155;0.130260727211567;1.929678004945;1.9775097037121e-18;1;1.9775097037121e-18
SRR12351634;1.13903407650651;0.446089214327428;4.48424850974895;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351645;0.806362417655839;1.84322783141786;3.67953353648624;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351651;2.31624005561115;0.468540384477659;1.04461507533445;1.97773274215817e-18;1.97773274215817e-18;1.97773274215817e-18
SRR12351655;4.64750617891027;0.258411322424054;2.05852278929824;1.97795580444976e-18;1;1.97795580444976e-18
SRR12351663;5.7915849183473;0.194546110799857;0.406592664394731;1.94673828069641e-18;1;9.99458381723811e-13
SRR12351672;3.45863724073801;0.574659981504003;1.43807782864842;1.9775097037121e-18;1.9775097037121e-18;1.9775097037121e-18
SRR12351679;1.10083476013359;0.549905407813397;1.76408886009247;1.9778442703231e-18;1.9778442703231e-18;1.9778442703231e-18
SRR12351697;1.94622524429719;2.21786417966849;1.40922562120842;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351704;1.14984423139879;0.205921327670988;3.83516335800399;1.9778442703231e-18;1;1.9778442703231e-18
SRR12351735;1.1564384734954;0.404255000889373;2.56770041588471;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351741;1.09424387777127;0.698472661783183;2.21187342419563;1.97739819343043e-18;1.97739819343043e-18;1.97739819343043e-18
SRR12351742;3.11024273920862;1.84364800338195;0.504518071032468;1.97728668910923e-18;1.97728668910923e-18;1.97728668910923e-18
SRR12351746;1.96616399977159;1.90751321500615;2.15644819593598;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351762;1.12331123382778;0.317938619114943;4.35540372539571;1.97795580444976e-18;2.56040816544614e-15;1.97795580444976e-18
SRR12351767;4.64750617891027;0.258411322424054;2.05852278929824;1.97795580444976e-18;1;1.97795580444976e-18
SRR12351813;0;0.462942690640225;3.28341813237257;NA;1.97795580444976e-18;1.97795580444976e-18
