S1_exposure;S2_exposure;S3_exposure;S1_pvalue;S2_pvalue;S3_pvalue
SRR12833731;1.09454041654045;7.42379854136163;1.20816572891449;0.990127244432432;1.90347335172589e-18;1.4661581069113e-10
SRR12833738;0.948147753165188;0.760950030941546;8.65270497859006;NA;NA;7.77373981688446e-24
SRR12833747;2.29843030886622;0;4.85317163923939;1.9526797156304e-18;NA;1.9526797156304e-18
SRR12833750;5.21119177048486;4.63107300000235;8.71248636231869;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833751;2.32444176039407;5.63913489682435;3.67056835916947;2.03865265468106e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833757;3.62310051788908;0;6.10735989113045;1.9776212199546e-18;NA;1.9776212199546e-18
SRR12833761;5.7052375909987;9.08461026525823;2.38171001988989;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833772;0.832656803363739;15.0189469261417;9.89560595500137;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12833794;0.65440775771516;9.73475382276424;13.5959786133586;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12833797;2.24348524975948;3.40030393459306;7.45574326451298;6.38976718017124e-05;1.97795580444976e-18;1.97795580444976e-18
SRR12833798;0.774700835738679;4.53862509181744;8.69855995956611;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12833799;1.09244684223572;6.54558568168101;9.87122530094313;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12833802;6.32401021980631;2.3464580171932;2.41939780477214;1.97795580444976e-18;4.33095140314109e-17;1.97795580444976e-18
SRR12833803;1.19431231567957;11.1967912019009;1.20595444449547;NA;7.77373981688446e-24;NA
SRR12833830;1.38581529932503;3.6072389627455;3.73759021524504;2.16549357175258e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833833;4.80336800253716;7.39051974335697;18.5669997219367;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12833836;12.305893657526;10.0092685567942;47.0116311396849;NA;NA;7.77373981688446e-24
SRR12833840;2.05617129749474;2.76702801494989;21.1884345626641;NA;NA;7.77373981688446e-24
SRR12833842;11.7677214845293;7.10588486174466;7.29322491198465;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833872;2.40523832464603;3.68483626505433;6.26011396561992;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833875;15.211976289405;2.80816614679462;43.2664691132003;6.02194612263439e-13;NA;1.53250868889275e-18
SRR12833882;6.27229675923092;4.29279501782803;4.85805442940634;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833890;19.9135385199976;27.065271187126;14.5049540347987;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833893;4.90941863048601;2.26607269317587;1.13654434378577;1.9778442703231e-18;1.9778442703231e-18;1.9778442703231e-18
SRR12833919;6.51484639836942;2.62302871651927;6.25197073696373;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833924;3.59721362476896;0.662515089495328;3.64788796639748;1.9775097037121e-18;NA;1.9775097037121e-18
SRR12833927;4.64682690471031;11.7216688194056;3.85899925775588;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833930;0;1.82806535086515;4.93783899632487;NA;1.97739819343043e-18;1.97739819343043e-18
